   ;ACM ;ACP ;AFC ;AFM ;Classification
passage;0;0;0;0;3
patients;0;2;0;1;0
petits;1;1;1;0;0
place;0;0;3;0;0
possibles;2;1;0;0;0
précisons;1;0;2;0;0
problème;1;0;1;0;1
rayon;0;3;0;0;0
reconnaît;0;2;1;0;0
règles;2;0;1;0;0
répertoires;0;0;0;0;3
séquentiellement;1;2;0;0;0
site;0;1;0;2;0
sorte;1;0;1;1;0
spectacle;3;0;0;0;0
stratégie;0;1;0;0;2
student;1;1;0;1;0
vertical;1;2;0;0;0
yeux;0;0;3;0;0
absolue;0;0;0;0;2
additionner;0;1;1;0;0
amplitude;0;2;0;0;0
animation;0;2;0;0;0
approchée;0;2;0;0;0
appuyer;0;0;0;1;1
arrêter;0;0;0;0;2
assurer;0;1;0;0;1
autour;1;0;0;0;1
besoin;0;1;0;0;1
borné;0;0;0;2;0
bruit;0;0;0;0;2
cause;0;1;0;0;1
chaîne;0;0;0;0;2
chargé;0;0;0;2;0
cherchera;0;0;0;1;1
cherchons;0;2;0;0;0
classifier;0;0;0;0;2
combien;1;0;0;0;1
comportant;0;0;1;1;0
composé;0;0;0;2;0
compromis;0;0;2;0;0
concentrer;0;0;0;0;2
confronte;0;0;2;0;0
consommation;0;0;0;2;0
consultation;0;0;2;0;0
convergence;1;0;0;0;1
cordonnées;0;1;1;0;0
cruciale;0;0;1;0;1
déçu;0;0;0;2;0
détail;0;2;0;0;0
déterminé;0;1;0;0;1
différemment;1;0;1;0;0
dissimilarités;0;0;0;0;2
distinction;0;0;2;0;0
dualité;0;0;2;0;0
éliminer;0;0;0;0;2
empilées;0;0;2;0;0
endroit;0;2;0;0;0
enrichir;0;1;0;1;0
étendue;0;0;0;2;0
événements;0;0;2;0;0
explorer;2;0;0;0;0
expression;0;0;1;1;0
extraire;1;0;1;0;0
face;2;0;0;0;0
façons;0;2;0;0;0
famille;2;0;0;0;0
femmes;2;0;0;0;0
fictif;0;0;0;1;1
fidèlement;0;2;0;0;0
fin;0;0;0;0;2
fine;0;0;0;0;2
finie;0;0;0;0;2
format;2;0;0;0;0
guttman;2;0;0;0;0
habitants;2;0;0;0;0
hommes;2;0;0;0;0
hypersphère;0;2;0;0;0
idéal;0;0;1;0;1
imaginer;0;1;1;0;0
inconvénient;0;0;0;1;1
insisté;1;0;1;0;0
intermédiaire;0;1;1;0;0
interrogés;0;0;0;2;0
intervient;1;0;1;0;0
inutile;0;0;0;0;2
inverse;0;0;0;2;0
jaccard;0;0;0;0;2
jamais;1;0;1;0;0
justement;1;1;0;0;0
lexicaux;0;0;2;0;0
lisible;0;0;0;1;1
mfa;0;0;0;2;0
mises;0;0;1;1;0
mixtes;0;0;0;2;0
multi;0;0;0;2;0
musique;2;0;0;0;0
nommer;0;0;2;0;0
opérationnel;0;0;2;0;0
parangon;0;0;0;0;2
participants;0;0;0;2;0
partie;0;0;0;1;1
perçu;0;0;2;0;0
placer;1;0;1;0;0
plantes;0;0;2;0;0
polluants;0;2;0;0;0
pose;0;0;1;0;1
poser;0;0;1;1;0
positive;0;2;0;0;0
possibilité;0;0;0;0;2
précieuse;1;0;1;0;0
pseudo;2;0;0;0;0
psychologiques;0;0;0;2;0
pythagore;0;2;0;0;0
quantifier;0;1;0;0;1
raisonner;0;0;1;0;1
rapproche;0;1;0;1;0
réfère;0;0;2;0;0
régression;0;1;0;1;0
régulière;2;0;0;0;0
répartition;1;0;0;1;0
repère;0;0;0;2;0
réside;0;0;1;1;0
retombe;1;1;0;0;0
réunion;0;0;0;0;2
risque;0;0;0;0;2
rivières;0;2;0;0;0
saveur;0;2;0;0;0
sommeil;0;0;0;2;0
stable;0;0;0;0;2
superposés;0;0;0;2;0
technique;2;0;0;0;0
théorème;0;0;0;0;2
ultérieurement;2;0;0;0;0
vocabulaire;1;0;1;0;0
voilà;0;2;0;0;0
voire;0;0;1;0;1
